"id","name","price","original_price","rating","filtration_capacity"
0,"Aqua Fresh EPICAQUA ADJUSTER India 1st BIS (IS 16240 :2023) CM/L8100159306 15 L RO + UV + UF + ATDS Wa...","3,990","16,500","4","Filtration Capacity: 12 L/hr"
1,"Kinsco Aqua Punch 15 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
2,"MarQ by Flipkart Titanium Special Blue India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF ...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
3,"Aqua Fresh Smoke Audi 18 ltr drink pure India 1st BIS (IS 16240 :2023) CM/L8100159306 18 L RO + UV + U...","3,999","16,500","4.1","Filtration Capacity: 18 L/hr"
4,"Aquagrand SkyLand 18 Ltr  Water Purifier 18 L RO + UV + UF + TDS Water Purifier","3,992","14,500","3.9","Filtration Capacity: 18 L/hr"
5,"LIVPURE LIV-PEP-PRO-STAR. 7 L RO + UV + UF + Minerals Water Purifier Suitable for all - Borewell, Tank...","8,299","16,490","4.3","1 Year Manufacturer Domestic Warranty"
6,"Aquaguard Delight NXT 6 L RO + UV + UF Water Purifier | 6-Stage Purification | Suitable for all - Bore...","8,999","18,000","4.1","1 year comprehensive domestive warranty"
7,"Kinsco Aqua Punch+ Zinc Copper and Alkaline 15 L RO + UV + UF + Copper Guard + pH enhancer Water Purif...","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
8,"KENT Ace 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","12,345","19,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
9,"Aquaguard Delight NXT Lite 6 L RO + MC Water Purifier | 6-Stage Purification with 2-in-1 Mineral Charg...","6,999","13,000","4.1","Filtration Capacity: 15 L/hr"
10,"Aqua Fresh MINERAL POT BLUE 16 L Gravity Based Water Purifier","918","2,999","3.8","N/A"
11,"KENT ACE - B 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","12,649","22,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase with 3 Years Extended Service without Any Charges"
12,"Aquaguard Delight NXT 6 L UV + UF Water Purifier | 5-Stage Purification | Suitable only for Municipali...","7,499","11,500","4.1","1 year comprehensive warranty on all parts excluding consumables"
13,"Aqua Frisch Storm Black Copper with Orp+Alkaline+Ro+Uf+Tds Adjuster+Antioxidant 12 L RO Water Purifier...","3,999","20,000","4","Filtration Capacity: 15 L/hr"
14,"Aquaguard Delight NXT 6 L RO + UV Water Purifier | 5-Stage Purification | Suitable for all - Borewell,...","7,999","14,000","4.1","1 year comprehensive warranty on all parts excluding consumables"
15,"Always Aquapure Zinc Copper Alkaline RO with 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,489","15,500","3.9","Filtration Capacity: 12 L/hr"
16,"Grand plus RO+UV+UF+TDS+COPPER WATER PURIFIER 14 L RO + UV + UF + TDS + Copper Water Purifier","3,799","16,500","4","Filtration Capacity: 14 L/hr"
17,"KENT Ace Extra/ Ace Alkaline 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier Sui...","15,299","21,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
18,"Pureit Advanced Plus 7 L RO + MF + MP Water Purifier Suitable for all - Borewell, Tanker, Municipality...","6,999","11,399","4.5","Filtration Capacity: 12 L/hr"
19,"NATIVE By Urban Company M2 | Needs no service for 2 years | 10-stage Purification 8 L RO + UV + UF + T...","17,999","24,999","4.4","Filtration Capacity: 20 L/hr"
20,"Aqua Fresh New EPICAQUA ADJUSTER 15 L RO + UV + UF + ATDS Water Purifier","4,299","16,500","4","Filtration Capacity: 15 L/hr"
21,"Grand plus SMOKE TPT SWIFT 14 L RO + UV + UF + TDS + ALK + Copper Water Purifier","3,999","16,500","4.2","Filtration Capacity: 14 L/hr"
22,"NATIVE By Urban Company M1 Copper | Needs no service for 2 years | 10-stage filtration | 8 L RO + UV +...","14,499","18,999","4.4","Filtration Capacity: 20 L/hr"
23,"MarQ by Flipkart Innopure UV without RO 12 L UV + UF + Minerals + Copper Water Purifier","2,599","8,599","3.8","1 Year Manufacturer Domestic Warranty on SMPS only & Service/Visit charges applicable"
24,"KENT Ace Extra/ Ace Alkaline 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier Sui...","15,299","21,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
25,"LIVPURE LIV-PEP-PRO-PLUS+ 7 L RO + UV + UF Water Purifier Suitable for all - Borewell, Tanker, Municip...","7,799","15,500","4.3","Filtration Capacity: 12 L/hr"
26,"Aqua Fresh EPICAQUA++Needs no service for 2 years Unconditional Warranty 15 L RO + UV + CU Guard + Alk...","6,299","16,500","4","Filtration Capacity: 12 L/hr"
27,"MarQ by Flipkart Innopure Crux 15 L RO + UV + UF + Copper Water Purifier with Pre filter and BIS Certi...","4,199","16,500","4","Filtration Capacity: 12 L/hr"
28,"Pureit by HUL Advanced Max 6 L Mineral RO + UV + MF + MP Water Purifier Suitable for all - Borewell, T...","7,599","18,500","4.4","Filtration Capacity: 20 L/hr"
29,"AQUA Fresh Skyland Model 18 L RO + UV + UF + TDS + Alkaline Water Purifier","3,969","17,500","4.1","Filtration Capacity: 18 L/hr"
30,"KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier Suitable for all - Borewell, ...","13,999","20,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
31,"Kinsco Aqua Seven Copper Zinc and Alkaline(Power of 3) 15 L RO + UV + UF + Copper Guard + pH enhancer ...","3,999","20,000","4.4","1 Year Warranty on Electrical items"
32,"HAVELLS Aquas 7 L RO + UF Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","7,499","15,999","4.1","1 Year Warranty"
33,"Aqua Fresh MINERAL POT BLUE 16 L Gravity Based Water Purifier","918","2,999","3.8","N/A"
34,"Blue Star Opulus 8 L RO + UV + UF + IBT + Alkaline Water Purifier Suitable for all - Borewell, Tanker,...","9,399","21,900","4.1","Filtration Capacity: 15 L/hr"
35,"Pureit Max Water Saver 10 L RO + UV + MF Water Purifier 60% Water Saving, Suitable for all - Borewell,...","12,499","22,500","4.4","Filtration Capacity: 24 L/hr"
36,"Aqua Frisch Storm Black Copper +Orp+AAA Alkaline 12 L RO + UV + UF + Copper Guard + pH enhancer Water ...","9,999","20,000","4","Filtration Capacity: 15 L/hr"
37,"MarQ by Flipkart Aqua Neon White 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier with Pre filter...","3,799","16,500","3.6","Filtration Capacity: 10 L/hr"
38,"KENT gold original Spare Kit UF membrane, carbon pack & Sediment pair 4000 L Gravity Based Water Purif...","670","700","4.1","na"
39,"KENT ACE - B 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","12,649","22,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase with 3 Years Extended Service without Any Charges"
40,"Always Wguard with LED indicator and Pre filter 10 stage 7 L RO + UV + UF + TDS + ALK + Copper Water P...","4,999","18,500",NULL,"Filtration Capacity: 15 L/hr"
41,"Aqua Fresh Panther Opel Copper India 1st BIS (IS 16240 :2023) CM/L8100159306 18 L RO + UV + UF + Coppe...","3,999","16,500","3.9","Filtration Capacity: 18 L/hr"
42,"Aquaguard Aura 7 L RO + UV + UF + MTDS Water Purifier with Active Copper Tech | Upto 60% Water Savings...","15,499","24,500","4.1","Filtration Capacity: 15 L/hr"
43,"Pureit by HUL Mineral 8 L RO + UV + MF + Minerals + Copper Water Purifier Suitable for all - Borewell,...","20,990","27,990","4.4","1 year domestic warranty on all parts excluding consumables & Germ Kill Kit. Any technician visits"
44,"Aqua Fresh Wave COPPER MINERAL 15 L RO + UV + UF + TDS Water Purifier","3,799","13,999","4","Filtration Capacity: 12 L/hr"
45,"KENT Ace Copper 8 L RO + UV + UF + TDS Control + UV in Tank + Copper Water Purifier Suitable for all -...","15,299","21,000","4.4","1 Year Warranty"
46,"Kinsco Aqua Wave Copper 13 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","4,099","20,000","4.2","Filtration Capacity: 15 L/hr"
47,"Always aurotic Instant Hot and Normal 10 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Pu...","8,990","21,500","4","Filtration Capacity: 15 L/hr"
48,"KENT Ace Lite 8 L RO + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","11,849","19,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
49,"AO Smith Z9 10 L RO Water Purifier Silver Charged Membrane Tech) Water Purifier Black | Hot + Normal W...","25,199","31,850","4.4","Filtration Capacity: 15 L/hr"
50,"RUIQUAN EDGE FRESH 10 L RO + UV + UF + Alkaline Water Purifier","4,598","19,999",NULL,"Filtration Capacity: 10 L/hr"
51,"RUIQUAN AQUA LIV 12 L RO + UF + MIN + Alkaline + SS Water Purifier","3,588","16,999",NULL,"Filtration Capacity: 10 L/hr"
52,"AO Smith X2 5 L UV + UF Water Purifier 5-Stage Purification| Digital Display| Advanced Alert Tech| Wal...","9,199","12,200","4","Filtration Capacity: 30 L/hr"
53,"Aqua Fresh Glam Edition 1 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + U...","5,499","16,500","4.2","Filtration Capacity: 8 L/hr"
54,"Aqua Fresh MINERAL POT WH gravity based 16 L WATER PURIFIER 16 L Gravity Based Water Purifier","918","2,999","3.8","MANUFACTURING DEFECT ONLY"
55,"LIVPURE LIV-GLITZ 7 L UV + UF Water Purifier","6,799","9,490","4","Filtration Capacity: 60 L/hr"
56,"RUIQUAN NEON Copper RO Water Purifier with UV, UF & TDS Controller for home 12 Liter 12 L RO + UV + UF...","4,236","21,999",NULL,"Filtration Capacity: 12 L/hr"
57,"KENT Ace & Vegetable Cleaner 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier Suitable for a...","16,999","26,500","4.3","Filtration Capacity: 20 L/hr"
58,"Pureit Revito 7 L RO + MF + UV in Tank + Minerals Water Purifier Suitable for all - Borewell, Tanker, ...","15,990","25,999","4.4","Filtration Capacity: 28 L/hr"
59,"LIVPURE LIV-GLO-STAR-BLACK 7 L RO + UV + UF + Minerals Water Purifier","7,399","16,490","3.9","Filtration Capacity: 15 L/hr"
60,"MarQ by Flipkart Innopure Black Grey Tulip India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV +...","6,499","16,500","4.2","Filtration Capacity: 8 L/hr"
61,"Aqua Fresh AquaXcrux smoke Needs no service for 3 years Unconditional Warranty 14 L RO + UV + CU Guard...","8,999","16,500","4.7","Filtration Capacity: 14 L/hr"
62,"Aquaguard Ritz 5.5 L RO + UV + MTDS + SS Water Purifier | Stainless Steel Tank | Upto 60% Water Saving...","17,599","27,000","4.1","1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit"
63,"Pureit by HUL ULTIMA MINERAL 10 L RO + UV + MF Water Purifier Suitable for all - Borewell, Tanker, Mun...","10,999","20,500","4.3","Filtration Capacity: 15 L/hr"
64,"KENT GRAND STAR 9 L RO + UV + UF + TDS Control + UV in Tank Water Purifier Suitable for all - Borewell...","19,249","23,000","4.4","1 Year Warranty + 3 Years free service"
65,"Eureka Forbes Aquaguard Vista (UV+) Water Purifier with UV e-boiling, Mineral Guard technology","7,999","10,500","4.2","Filtration Capacity: 60 L/hr"
66,"Ferrum Thame Pure 21 Litres Stainless Steel Water Filter 21 L Gravity Based Water Purifier","1,499","2,300","3.8","Filtration Capacity: 2 L/hr"
67,"KENT GOLD+(11015) 20 L Gravity Based + UF Water Purifier","2,899","3,300","3.9","Not Applicable"
68,"Kinsco Aqua Flame 15 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","4,199","20,000","4.2","1 Year Warranty on Electrical items"
69,"Aqua Fresh Omega Audy+Ro+Uv+Uf+Tds+mineral 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","3.9","Filtration Capacity: 10 L/hr"
70,"Kinsco Aqua 6 Stage 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
71,"Aqua Fresh Glam Edit White 2 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV ...","6,299","16,500","3.4","Filtration Capacity: 15 L/hr"
72,"proven 10 Stage for Home and Office (Made In India) 15 L RO + UV + UF + Copper + TDS Control Water Pur...","4,549","16,999","4.2","THREE MONTHS WARRANTY ON ELECTRONIC ITEMS EXCEPT UV LAMP OFFSITE FOR EVERY VISIT CUSTOMER NEED TO PAY VISIT CHARGES DIRECTLY TO TECHNICIAN RS 350"
73,"Kaveri AquaFresh SkyLand 18 Ltr  Water Purifier 18 L RO + UV + UF + TDS Water Purifier","3,650","14,500","4","Filtration Capacity: 18 L/hr"
74,"LIVPURE Allura - No Service Cost for 2.5 years - All Filters Included 7 L RO + UV + Copper Water Purif...","14,490","23,490","4.3","Filtration Capacity: 20 L/hr"
75,"Sure from Aquaguard by Eureka Forbes Desire NXT 6 L RO + UV + TA Water Purifier Suitable for all - Bor...","8,019","14,000","4","Filtration Capacity: 15 L/hr"
76,"Aquatec Plus Advance plus 12 L RO + UV + UF + TDS Water Purifier","7,236","15,999","4.3","Filtration Capacity: 15 L/hr"
77,"Aquaultra 14L LED Total Computer Control RO+11W UV(OSRAM, Made In Italy) +B12+TDS Contoller Water Puri...","4,690","13,500","3.5","Filtration Capacity: 15 L/hr"
78,"BePURE HNC 5G Hot and Cold 9 L RO + UV + UF + TDS + Alkaline Water Purifier","15,999","24,999","4.1","Filtration Capacity: 15 L/hr"
79,"Always Mineral Technology Based Non Electric 18 L Gravity Based Water Purifier","1,499","2,999","3.9","Filtration Capacity: 15 L/hr"
80,"Aqua Ultra Glory01 RO+B12 Technology Water Purifier 12 L RO + MF Water Purifier","4,540","13,500","3.5","Filtration Capacity: 15 L/hr"
81,"Aqua Fresh NEW AUDI 12 L RO + UV + UF + TDS Water Purifier","4,229","16,500","3.7","Filtration Capacity: 2 L/hr"
82,"KENT Grand + 9 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","18,650","22,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
83,"KENT Gold Optima (11016) 10 L Gravity Based + UF Water Purifier","1,750","1,900","3.8","Not Applicable"
84,"Sure from Aquaguard by Eureka Forbes Desire NXT 6 L UV + UF Water Purifier","10,700","11,500","4","Filtration Capacity: 36 L/hr"
85,"Always Gravity Water Purifier Non-Electric 15LStorage White 15 L Gravity Based Water Purifier","1,599","1,999","4.1","1 Year on Manufacturing Defect only(offsite)."
86,"Aqua Fresh OPEL Model Copper 18 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","16,500","4","Filtration Capacity: 18 L/hr"
87,"Aqua Fresh white gold camry 12Ltrs + copper filter 12 L RO + UV + UF + Copper + TDS Control Water Puri...","3,799","16,500","4","Filtration Capacity: 20 L/hr"
88,"Aqua Fresh New EPICAQUA ADJUSTER 15 L RO + UV + UF + ATDS Water Purifier","3,999","16,500","4","Filtration Capacity: 15 L/hr"
89,"Always PURE NATURAL UV Without RO 15 L UV + UF + Copper Water Purifier","2,499","9,999","4","Filtration Capacity: 90 L/hr"
90,"Aquafresh AQUAFRSH BLUE SWIFT 10 L RO + UV + UF + TDS Water Purifier","4,999","16,500","3.8","Filtration Capacity: 10 L/hr"
91,"Always Swift 15L 15 L RO + UV + UF + TDS + Alkaline Water Purifier","3,611","13,500","4.2","1 Year Offsite Manufacture Warranty ON SMPS AND MOTOR .Warranty will be void on self installation of RO."
92,"Home-pro Stainless Steel Water Filter | Non Electric | Long Ceramic Candle 3 | 24 L Gravity Based Wate...","1,599","4,776","3.9","Filtration Capacity: 1 L/hr"
93,"MarQ by Flipkart Innopure Aqua Audi 15 L RO + UV + UF + TDS Water Purifier with Pre filter and BIS Cer...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
94,"LIVPURE LIV-PEP-PRO-TOUCH 8.5 L RO + UV + UF Water Purifier","12,499","19,999","4","1 Year Warranty"
95,"MarQ by Flipkart Innopure Minerals Swift 10 L UV + UF + Copper Water Purifier with Prefilter","2,799","9,999","3.7","Filtration Capacity: 8 L/hr"
96,"Always Rolex Active Copper Water Purifier 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water ...","3,399","15,500","4.6","Filtration Capacity: 15 L/hr"
97,"V-Guard Requpro UV+UF+Minerals with Stainless Steel Tank 5.5 L UV + UF Water Purifier","10,699","18,399","3.6","Filtration Capacity: 30 L/hr"
98,"Eureka Forbes Aquasure from Aquaguard Desire 7 L UV + UF Water Purifier Suitable only for Municipality...","6,999","11,500","4.1","Filtration Capacity: 36 L/hr"
99,"LIVPURE Allura Premia - No Service Cost for 2.5 years - All Filters Included 7 L RO + UV + UF + TDS + ...","16,490","25,990","4.3","Filtration Capacity: 20 L/hr"
100,"BePURE 4G pH Hot and Cold 9 L RO + UV + UF + TDS + Alkaline Water Purifier with Hot and Cold water fea...","13,499","24,999","4.1","Filtration Capacity: 15 L/hr"
101,"Aqua Fresh Titanium Series 1 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV ...","5,999","16,500","4.2","Filtration Capacity: 8 L/hr"
102,"V-Guard Rejive 6.5 L RO + UV + MF + Minerals Water Purifier","9,849","18,349","4.3","One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit"
103,"MarQ by Flipkart Aqua Neon White 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier with Pre filter...","3,799","16,500","3.6","Filtration Capacity: 10 L/hr"
104,"Hindware Elara Copper+ 7 L RO + UV + UF + Minerals Water Purifier Suitable for all - Borewell, Tanker,...","6,949","15,999","3.9","Filtration Capacity: 12 L/hr"
105,"Apeiron Water Purifier With New Ceramic Candle 21 L Gravity Based Water Purifier","1,449","2,196","4","NA"
106,"Aquafresh NEW GOLD EPIC 12 L RO + UV + UF + TDS Water Purifier with Prefilter","4,899","16,500","4.1","Filtration Capacity: 12 L/hr"
107,"Marchio Aqua Purifier 12 L RO + UV + MP + MTDS Water Purifier","4,239","14,999",NULL,"Filtration Capacity: 12 L/hr"
108,"MarQ by Flipkart AQUA MINI TPT SMOK SWIFT 14 L RO + UV + UF + TDS + ALK + Copper Water Purifier with P...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
109,"Apeiron Water Purifier With New Ceramic Candle 27 L Gravity Based Water Purifier","1,599","2,449","3.7","NA"
110,"Always Swift Copper 7 Stage Water Puriffication 15 L RO + UV + UF + Copper + TDS Control Water Purifie...","3,626","13,500","4.3","1 Year offsite warranty on all   electronic parts"
111,"MarQ by Flipkart BePure Bronze 16 L Gravity Based + UF Water Purifier","1,699","2,999","3.9",NULL
112,"Grand plus Audi 12 L RO + UV + UF + TDS Water Purifier","3,799","16,500","3.6","Filtration Capacity: 4000 L/hr"
113,"V-Guard Zenora RO+UV+MB 7 L RO + UV + MB Water Purifier","8,999","16,999","4.3","One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit"
114,"Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier Suitable for all - Borewell, T...","9,999","16,000","4.1","Filtration Capacity: 15 L/hr"
115,"Aqua Fresh Immense Audy 18 L RO + UV + UF + TDS + Mineral Water Purifier","4,169","16,500","4","Filtration Capacity: 18 L/hr"
116,"Kinsco Aqua Ro With Uv Laser 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","20,000","4.6","Filtration Capacity: 15 L/hr"
117,"Always Swift 15L 15 L RO + UV + UF + TDS + Alkaline Water Purifier (Blue-White) 15 L Mineral RO + UV +...","3,399","13,500","4.3","2 years warranty on electrical parts (booster pump"
118,"proven Zinc Copper Alkaline Hydrogen RO With 12 L RO + UV + UF + Copper + TDS Control Water Purifier","5,549","19,990","4.2","One year warranty for electrical parts"
119,"Prestige Clean Home Water Purifier PSWP 3.0 10 L Gravity Based Water Purifier","1,950","2,195","3.7","1 Year Warranty"
120,"Blair Epic RO UV UF TDS 17 L RO + UV + UF + TDS Water Purifier","3,489","17,690","4.1","Filtration Capacity: 17 L/hr"
121,"Always Gravity Water Purifier Non-Electric 15LStorage White 15 L Gravity Based Water Purifier","1,599","1,999","4.1","1 Year on Manufacturing Defect only(offsite)."
122,"Blue Star Cresto 7 L RO + UV + UF Water Purifier Suitable for all - Borewell, Tanker, Municipality Wat...","9,999","14,900","3.5","1 Year Warranty"
123,"KENT GRAND STAR 9 L RO + UF + UV + UV_LED + TDS Control Water Purifier","19,500","21,500","4.3","3 year Extended service Warranty"
124,"Grand plus AUDI 10 L RO + UV + UF + TDS Water Purifier","3,799","16,500","3.6","Filtration Capacity: 1 L/hr"
125,"Apeiron Water Purifier With New Ceramic Candle 24 L Gravity Based Water Purifier","1,479","2,285","3.8","NA"
126,"Always Gravity WaterPurifierMineralTechnologyBasedNonElectric 15L Storage 15 L Gravity Based Water Pur...","1,599","2,500","4.1","1 Year on Manufacturing Defect only(offsite)."
127,"Marchio New grand Water Purifier 12 L RO + UV + UF + Copper + TDS Control Water Purifier","4,947","19,500","5","Filtration Capacity: 12 L/hr"
128,"Always Misty Active Copper 10 L RO + UV + UF + TDS + ALK + Copper Water Purifier","5,199","18,000","4.1","1 Year Offsite Warranty: Customer have to call the customer support & register their RO once it is delivered. (A)- 1 Year Warranty on all electricla parts"
129,"V-Guard Zenora 7 L RO + UV + MB Water Purifier","8,949","16,649","4.3","One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit"
130,"BRITA Marella XL 3.5 L Gravity Based Water Purifier","1,998","2,499","4.4","NA"
131,"Blair GLORY ( GLORY ) HIGH TDS RO+UV+UF+TDS 14 L RO + UV + UF + TDS Water Purifier","5,015","19,999",NULL,"Filtration Capacity: 17 L/hr"
132,"LIVPURE LIV-BOLT+ COPPER(RO+UF+MIN) 7 L RO + UF + Minerals + Copper Water Purifier","11,730","16,490","4.3","Filtration Capacity: 15 L/hr"
133,"Aquaguard Apex 8 L UV + UF Water Purifier Suitable only for Municipality Water Supply","10,499","15,000","4","1 Year Manufacturer Warranty from the Date of Purchase"
134,"MarQ by Flipkart BBD SPECIAL BLK STM SWIFT 8 L RO Water Purifier with BIS Certification","2,876","9,999","3.5","Filtration Capacity: 8 L/hr"
135,"AQUA Mineral Ro Audi 12 L RO + UV + UF + TDS Water Purifier","3,893","14,500","4.2","Filtration Capacity: 12 L/hr"
136,"fedula Aqua pearl water purifier filter RO UV UF TDS Alkaline copper 10 L RO + UV + UF + Copper Guard ...","6,200","19,500",NULL,"Filtration Capacity: 15 L/hr"
137,"Kaveri Megastar With ALKALINE VITAMIN B12 Filter 12 L RO + UV + UF + TDS + Alkaline Water Purifier","7,600","15,000",NULL,"2-year Unconditional Warranty - all filters"
138,"Always Rolex 12 L  + Active Copper Water Purifier 12 L RO + UV + UF + TDS Water Purifier","3,289","15,500","4.3","Filtration Capacity: 15 L/hr"
139,"HAVELLS Gracia Alkaline Fab 6.5 L RO + UV + Alkaline Water Purifier Suitable for all - Borewell, Tanke...","18,998","37,000","4.1","1 Year Warranty"
140,"Kaveri Megastar With Copper Filter 12 L RO + UV + UF + TDS + Copper Water Purifier","7,600","15,000",NULL,"2-year Unconditional Warranty - all filters"
141,"Kaveri MEGASTAR MODEL RO+UV+UF+TDS ADJUSTER 12 L RO + UV + UF + TDS Water Purifier","7,600","15,000",NULL,"2-year Unconditional Warranty - all filters"
142,"AQUA SAGE LED Display With Copper Filter 15 L RO + UV + UF + Copper + TDS Control Water Purifier","3,955","15,500","3.7","Filtration Capacity: 15 L/hr"
143,"Aquaguard BLAZE INSTA RO+UV+TA HOT&AMB 5.6 L RO + UV + Copper Water Purifier | Dual Stainless Steel Ta...","26,999","37,000","3.4","1 Year Warranty"
144,"Apeiron Water Purifier With New Ceramic Candle 18 L Gravity Based Water Purifier","1,798","1,999","3.7","NA"
145,"Aquagrand Black Audi purify Mineral+ro+uv+uf+tds 15 L 12 L RO + UV + UF + TDS Water Purifier","3,752","14,500","4","Filtration Capacity: 10 L/hr"
146,"Peore Pro Plus - RO  Water Purifier | Self Service Mode 7.5 L NF + UV Water Purifier","14,499","22,999",NULL,"Filtration Capacity: 25 L/hr"
147,"Kinsco Aqua Moon 13 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","3,999","20,000","4.1","Filtration Capacity: 15 L/hr"
148,"KENT PEARL STAR 11 L RO + UV + UF + TDS Water Purifier","19,500","21,500","4.5","1 Year Warranty"
149,"Musky By Aquafresh mineral pot non electric (municipal water purifier) 16 L Gravity Based Water Purifi...","918","2,999","3.8","ONE YEAR OFFSITE WARRANTY ON MANUFACTURING DEFECT. ALL ELECTRONIC PARTS (smps & motor) "
150,"Aquaultra Advance LED 15 L RO + UF + UV + UV_LED + TDS Control Water Purifier","4,390","15,500",NULL,"12 Month (Covered On Booster Pump And SMPS Power Supply) Manufacturer Warranty"
151,"Keel AUDI EXTREM RO+UV+UF+TDS 10 L WATER FILTER 10 L RO + UV + UF + TDS Control + UV in Tank Water Pur...","3,999","16,500",NULL,"Filtration Capacity: 14 L/hr"
152,"Kinsco Aqua Saffire LED Display With Zinc,Copper and Alkaline 15 L RO + UV + UF + Copper Guard + pH en...","4,299","20,000","3.7","Filtration Capacity: 15 L/hr"
153,"Aquaguard Reviva 8 L  Water Purifier (White, Blue) 8 L RO + UV Water Purifier","16,000","16,790","5","NA"
154,"Aquagrand Epic purify Mineral 15 L RO + UV + UF + TDS Water Purifier","3,930","14,500","4","Filtration Capacity: 12 L/hr"
155,"HAVELLS Delite Kopere 6.5 L RO + UV Water Purifier Stainless Steel Tank,Copper+Zinc+Minerals| Suitable...","12,999","24,995","4.1","1 Year Warranty"
156,"Royal Aquafresh NORMAL AUDI 8 L RO + UV + UF + Copper + TDS Control Water Purifier","3,899","16,500","3.6","Filtration Capacity: 8 L/hr"
157,"BePURE NF+ with Nano Filtration Technology 10 L NF + UV Water Purifier","9,980","17,999","4.4","Warranty on all electrical components"
158,"BRITA Flow 8.2 L Gravity Based Water Purifier","3,999","4,999","4.2","NA"
159,"Blair Epic RO UV UF TDS 17 L RO + UV + UF + TDS Water Purifier","3,489","17,690","4.1","Filtration Capacity: 17 L/hr"
160,"Kinsco Aqua Punch Copper Charge Ro 15 L RO + UV + UF + TDS + Copper Water Purifier with Prefilter and ...","4,499","20,000","4.3","Filtration Capacity: 15 L/hr"
161,"Keel Mineral Ro Audi 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4.2","Filtration Capacity: 20 L/hr"
162,"MarQ by Flipkart Innopure UV Swift 10 L UV + UF + Copper Water Purifier with BIS Certification","2,799","9,999","3.4","Filtration Capacity: 8 L/hr"
163,"KENT GRAND PLUS ZWW 9 LTR MINERAL RO+UV+UF+TDS CONTROL+ UV LED IN TANK, (WHITE) 20LTR/HR 20 L RO + UV ...","17,039","20,500","4.4","Filtration Capacity: 20 L/hr"
164,"Aqua Fresh Smoke Audi 18 ltr Needs no service for 2 years Unconditional Warranty 18 L RO + UV + CU Gua...","6,299","16,500","4.1","Filtration Capacity: 18 L/hr"
165,"AQUA Pearl Copper+Alkaline Vitamin B12 Filter RO+UV+TDS 7 Stage Purification 12 L RO + UF + UV + UV_LE...","5,400","13,000","4.1","Filtration Capacity: 18 L/hr"
